name,moa,target,disease_area,indication,phase
DCEBIO,potassium channel activator,"KCNN2, KCNN3, KCNN4",,,Preclinical
DMH1,ALK tyrosine kinase receptor inhibitor,ACVR1,,,Preclinical
DPI-201106,sodium channel activator,ADRB2,,,Phase 2
DU-728,structural glycoprotein antagonist,"ITGA2B, ITGB3",,,Phase 1
DVD-111,,,,,Phase 2
E7449,PARP inhibitor,"PARP1, PARP2, TNKS, TNKS2",,,Phase 1/Phase 2
EMD-53998,phosphodiesterase inhibitor,TNNC1,,,Phase 1
ENMD-2076,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor","AURKA, FLT3, KDR, PDGFRA, PTK2, SRC",,,Phase 2
EPZ-5676,histone lysine methyltransferase inhibitor,DOT1L,,,Phase 1
ER-27319,"mediator release inhibitor, SYK inhibitor",SYK,,,Preclinical
ETP-46464,ATR kinase inhibitor,,,,Preclinical
EVP4593,NFkB pathway inhibitor,,,,Preclinical
FERb-033,EGFR inhibitor,ERBB2,,,Preclinical
FG-4592,hypoxia inducible factor prolyl hydroxylase inhibitor,EGLN2,,,Phase 3
FK-3311,cyclooxygenase inhibitor,PTGS2,,,Phase 2
FK-866,niacinamide phosphoribosyltransferase inhibitor,NAMPT,,,Phase 2
FK-888,tachykinin antagonist,"TACR1, TACR2",,,Phase 2
FLI-06,notch signaling inhibitor,,,,Preclinical
FPH1-(BRD-6125),hepatocyte function enhancer,,,,Preclinical
FR-122047,cyclooxygenase inhibitor,,,,Preclinical
FR-139317,endothelin receptor antagonist,EDNRA,,,Phase 1
G-1,G protein-coupled receptor agonist,GPER1,,,Preclinical
GDC-0068,AKT inhibitor,"AKT1, AKT2, AKT3, PRKG1",,,Phase 2
GDC-0152,XIAP inhibitor,"BIRC2, BIRC3, BIRC7, XIAP",,,Phase 1
GDC-0349,Pim kinase inhibitor,PIK3CA,,,Phase 1
GDC-0879,RAF inhibitor,BRAF,,,Preclinical
GDC-0941,PI3K inhibitor,"PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 2
GDC-0980,"mTOR inhibitor, PI3K inhibitor","FGR, MAP3K9, MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, SYK",,,Phase 2
GGTI-298,GGTase inhibitor,CDKN1A,,,Preclinical
GS-39783,GABA receptor modulator,GABBR1,,,Preclinical
GS-9973,syk inhibitor,SYK,,,Phase 2
GSK-3-inhibitor-IX,"glycogen synthase kinase inhibitor, lipoxygenase inhibitor","GSK3A, GSK3B",,,Preclinical
GSK-J4,histone lysine demethylase inhibitor,"KDM6A, KDM6B",,,Preclinical
GSK1070916,Aurora kinase inhibitor,"AURKA, AURKB, AURKC, CYP2D6, CYP3A4",,,Phase 1
GSK1292263,glucose dependent insulinotropic receptor agonist,GRPR,,,Phase 2
GSK1838705A,insulin growth factor receptor inhibitor,"ALK, IGF1R, INSR, RPS6KA1",,,Preclinical
GSK1904529A,"IGF-1 inhibitor, insulin growth factor receptor inhibitor, insulin receptor ligand","IGF1R, INSR",,,Preclinical
GSK2110183,AKT inhibitor,"AKT1, AKT2, AKT3",,,Phase 2
GSK2126458,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG",,,Phase 1
GSK256066,phosphodiesterase inhibitor,PDE4A,,,Phase 2
GSK2656157,PERK inhibitor,,,,Preclinical
GSK2830371,protein phosphatase inhibitor,PPM1D,,,Preclinical
GSK429286A,rho associated kinase inhibitor,ROCK1,,,Preclinical
GSK461364,PLK inhibitor,PLK1,,,Phase 1
GSK650394,serum/glucocorticoid regulated kinase inhibitor,"SGK1, SGK2",,,Preclinical
GSK923295,centromere associated protein inhibitor,CENPE,,,Phase 1
GTP-14564,"FLT3 inhibitor, tyrosine kinase inhibitor","CSF1R, FLT3, KIT, PDGFRB",,,Preclinical
GW-3965,LXR agonist,"NR1H2, NR1H3",,,Preclinical
GW-405833,cannabinoid receptor agonist,CNR2,,,Preclinical
GW-441756,growth factor receptor inhibitor,NTRK1,,,Preclinical
GW-501516,PPAR receptor agonist,"PPARA, PPARD",,,Phase 2
GW-583340,EGFR inhibitor,"EGFR, ERBB2",,,Preclinical
GW-788388,ALK tyrosine kinase receptor inhibitor,"LCK, MAPK14, TGFBR1",,,Preclinical
GW-842166,cannabinoid receptor agonist,CNR2,,,Phase 2
GW-843682X,PLK inhibitor,"PLK1, PLK3",,,Preclinical
GZD824,Bcr-Abl kinase inhibitor,"ABL1, BCR",,,Preclinical
HA14-1,BCL inhibitor,BCL2,,,Preclinical
HMN-214,PLK inhibitor,PLK1,,,Phase 1
I-BET-762,bromodomain inhibitor,"BRD2, BRD3, BRD4",,,Phase 2
I-BET151,bromodomain inhibitor,"BRD2, BRD3, BRD4",,,Preclinical
ICG-001,beta-catenin inhibitor,CTNNB1,,,Preclinical
ICI-162846,histamine receptor antagonist,HRH2,,,Phase 1
IDRA-21,glutamate receptor positive allosteric modulator,"GRIA1, GRIA2, GRIA3, GRIA4",,,Preclinical
IEM1754,glutamate receptor antagonist,GRIA1,,,Preclinical
IKK-16,IKK inhibitor,IKBKB,,,Preclinical
IKK-2-inhibitor-V,"IKK inhibitor, NFkB pathway inhibitor",IKBKB,,,Phase 1
INC-280,c-Met inhibitor,MET,,,Phase 2
INH1,Hec1 inhibitor,NDC80,,,Preclinical
IOWH032,CFTR channel antagonist,CFTR,,,Phase 2
JIB04,histone lysine demethylase inhibitor,KDM4E,,,Preclinical
JK-184,hedgehog pathway inhibitor,,,,Preclinical
JNJ-16259685,glutamate receptor antagonist,GRM1,,,Preclinical
JNJ-26481585,HDAC inhibitor,"HDAC1, HDAC10, HDAC11, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9, MDM2",,,Phase 2
JNJ-7706621,CDK inhibitor,"AURKA, AURKB, CDK1, CDK2",,,Preclinical
JQ1-(+),bromodomain inhibitor,"BRD4, BRDT",,,Preclinical
JTC-801,opioid receptor antagonist,OPRL1,,,Phase 2
JTE-607,cytokine production inhibitor,"IL10, IL1B, IL6, TNF",,,Phase 2
JZL-184,monoacylglucerol lipase inhibitor,MGLL,,,Preclinical
K-858,kinesin-like spindle protein inhibitor,KIF11,,,Preclinical
K-Ras(G12C)-inhibitor-6,K-ras inhibitor,,,,Preclinical
KD-023,ACAT inhibitor,"ACACA, ACACB",,,Phase 2
KD025,rho associated kinase inhibitor,ROCK2,,,Phase 2
KF-38789,P selectin inhibitor,SELP,,,Preclinical
KI-16425,lysophosphatidic acid receptor antagonist,"LPAR1, LPAR3",,,Preclinical
KI-8751,"KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, VEGFR inhibitor",KDR,,,Preclinical
KP-1212,,,,,Phase 2
KPT-185,exportin antagonist,XPO1,,,Preclinical
KPT-276,exportin antagonist,XPO1,,,Preclinical
KW-2449,"Abl kinase inhibitor, Aurora kinase inhibitor, FLT3 inhibitor","ABL1, AURKA, AURKB, FLT3",,,Phase 1
KW-2478,HSP inhibitor,,,,Phase 1/Phase 2
KX2-391,"src inhibitor, tubulin polymerization inhibitor",SRC,,,Phase 2
KY02111,Wnt pathway inhibitor,DKK1,,,Preclinical
"L-798,106",prostanoid receptor antagonist,PTGER3,,,Preclinical
LB42708,farnesyltransferase inhibitor,,,,Preclinical
LCL-161,XIAP inhibitor,"BIRC2, XIAP",,,Phase 2
LDN-212854,bone morphogenic protein inhibitor,"ABL1, ACVR1, RIPK2",,,Preclinical
LDN-57444,ubiquitin C-terminal hydrolase inhibitor,,,,Preclinical
LE-135,retinoid receptor agonist,RARB,,,Preclinical
LGX818,RAF inhibitor,BRAF,,,Phase 3
LY2090314,glycogen synthase kinase inhibitor,GSK3B,,,Phase 2
LY2109761,TGF beta receptor inhibitor,"TGFBR1, TGFBR2",,,Preclinical
LY2183240,"FAAH inhibitor, FAAH reuptake inhibitor",FAAH,,,Preclinical
LY2334737,"antitumor agent, ribonucleotide reductase inhibitor",,,,Phase 1
LY2603618,CHK inhibitor,CHEK1,,,Phase 2
LY2606368,CHK inhibitor,CHEK1,,,Phase 2
LY2608204,glucokinase activator,GCK,,,Phase 2
LY2784544,JAK inhibitor,"JAK2, JAK3",,,Phase 2
LY2801653,MET inhibitor,MET,,,Phase 2
LY2874455,FGFR antagonist,"FGFR1, FGFR2, FGFR3, FGFR4, KDR",,,Phase 1
LY3023414,"PI3K inhibitor, mTOR inhibitor",MTOR,,,Phase 2
LY303511,"casein kinase inhibitor, mTOR inhibitor, PI3K inhibitor","BRD2, BRD3, BRD4",,,Preclinical
LY364947,"TGF beta receptor inhibitor, p38 MAPK inhibitor",TGFBR1,,,Preclinical
LY456236,glutamate receptor antagonist,GRM1,,,Preclinical
M-344,HDAC inhibitor,,,,Preclinical
MEK1-2-inhibitor,MEK inhibitor,MAP2K2,,,Preclinical
MEK162,MEK inhibitor,"MAP2K1, MAP2K2",,,Phase 3
MG-132,proteasome inhibitor,PSMB1,,,Preclinical
MGCD-265,VEGFR inhibitor,"AXL, MET",,,Preclinical
MK-0773,androgen receptor modulator,AR,,,Phase 2
MK-0812,CC chemokine receptor antagonist,CCR2,,,Phase 2
MK-1775,WEE1 kinase inhibitor,WEE1,,,Phase 2
MK-2206,AKT inhibitor,"AKT1, AKT2, AKT3",,,Phase 2
MK-2461,"FGFR inhibitor, VEGFR inhibitor","FGFR1, FGFR2, FGFR3, FLT1, FLT3, FLT4, KDR, MERTK, MET, MST1R, NTRK1, NTRK2, PDGFRB",,,Phase 1/Phase 2
MK-3207,calcitonin antagonist,CALCA,,,Phase 2
MK-5108,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,,Phase 1
MK-8245,stearoyl-CoA desaturase inhibitor,SCD,,,Phase 2
MK-8745,Aurora kinase inhibitor,AURKA,,,Preclinical
ML133,potassium channel blocker,,,,Preclinical
MLN-8054,Aurora kinase inhibitor,AURKA,,,Phase 1
MLN0128,mTOR inhibitor,"MTOR, PIK3CA, PIK3CD, PIK3CG",,,Phase 2
"MNS-(3,4-Methylenedioxy-nitrostyrene)","src inhibitor, syk inhibitor","SRC, SYK",,,Preclinical
MPI-0479605,mitotic kinase inhibitor,TTK,,,Preclinical
MRS-1220,adenosine receptor antagonist,"ADORA2B, ADORA3",,,Preclinical
MTPG,glutamate receptor antagonist,"GRM2, GRM3",,,Preclinical
N-acetylmannosamine,,CHIT1,,,Phase 1
NAN-190,serotonin receptor agonist,"ADRA1A, ADRA1B, ADRA1D, HTR1A, HTR1F",,,Preclinical
NH125,eukaryotic translation elongation factor 2 inhibitor,,,,Preclinical
NMS-1286937,PLK inhibitor,"FLT3, PLK1, PLK2, PLK3",,,Phase 1
NMS-873,ATPase inhibitor,VCP,,,Preclinical
NMS-E973,HSP inhibitor,,,,Preclinical
NSC-23766,Ras GTPase inhibitor,,,,Preclinical
NSC-319726,p53 activator,,,,Preclinical
NSC-3852,HDAC inhibitor,HDAC1,,,Preclinical
NSC-632839,ubiquitin specific protease inhibitor,"SENP2, USP1, USP2, USP7",,,Preclinical
NSC-663284,CDC inhibitor,"CDC25A, CDC25B, CDC25C",,,Preclinical
NSC-697923,ubiquitin-conjugating enzyme inhibitor,UBE2N,,,Preclinical
NU6027,CDK inhibitor,"CCNA2, CDK2",,,Preclinical
NVP-AEW541,IGF-1 inhibitor,"IGF1R, INSR",,,Preclinical
NVP-AUY922,HSP inhibitor,"HSP90AA1, HSP90AB1",,,Phase 2
NVP-BEZ235,"mTOR inhibitor, PI3K inhibitor","ATR, MTOR, PIK3CA, PIK3CD, PIK3CG",,,Phase 2
NVP-BHG712,ephrin inhibitor,EPHB4,,,Preclinical
NVP-BVU972,MET inhibitor,MET,,,Preclinical
NVP-TAE226,protein tyrosine kinase inhibitor,PTK2,,,Preclinical
NVP-TAE684,ALK tyrosine kinase receptor inhibitor,"ALK, INSR",,,Preclinical
OLDA,TRPV agonist,GPR119,,,Preclinical
ONC201,"AKT inhibitor, MAP kinase inhibitor",TNFSF10,,,Phase 2
ONX-0914,proteasome inhibitor,,,,Preclinical
OSI-027,mTOR inhibitor,MTOR,,,Phase 1
OSI-420,EGFR inhibitor,EGFR,,,Preclinical
OSI-930,"KIT inhibitor, VEGFR inhibitor","KDR, KIT",,,Phase 1
OTS167,maternal embryonic leucine zipper kinase inhibitor,MELK,,,Phase 1
OTX015,bromodomain inhibitor,"BRD2, BRD3, BRD4",,,Phase 1/Phase 2
P22077,ubiquitin specific protease inhibitor,USP7,,,Preclinical
P276-00,CDK inhibitor,"CDK1, CDK4, CDK9",,,Phase 2
P5091,ubiquitin specific protease inhibitor,USP7,,,Preclinical
PAC-1,caspase activator,CASP3,,,Phase 1
PCI-24781,HDAC inhibitor,"HDAC1, HDAC2, HDAC3, HDAC6",,,Phase 1/Phase 2
PD-0325901,MEK inhibitor,MAP2K1,,,Phase 2
PD-153035,EGFR inhibitor,"EGFR, KDR",,,Phase 1
PD-168393,EGFR inhibitor,"EGFR, ERBB2, SRC",,,Preclinical
PD-173074,"FGFR inhibitor, VEGFR inhibitor","FGFR1, FGFR2, FGFR3, FGFR4, FLT1, FLT4, KDR, PDGFRA, PDGFRB",,,Preclinical
PD-184352,MEK inhibitor,"MAP2K1, MAP3K1, MAP3K2",,,Phase 2
PD-198306,"MAP kinase inhibitor, MEK inhibitor","MAP2K1, MAP2K2",,,Preclinical
PD-318088,MEK inhibitor,MAP2K1,,,Preclinical
PD-407824,PKC inhibitor,WEE1,,,Preclinical
PD-98059,MEK inhibitor,"AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1",,,Preclinical
PETCM,caspase activator,CASP3,,,Preclinical
PF-03758309,p21 activated kinase inhibitor,PAK4,,,Phase 1
PF-03814735,Aurora kinase inhibitor,"AURKA, AURKB",,,Phase 1
PF-04136309,CC chemokine receptor antagonist,,,,Phase 2
PF-04217903,c-Met inhibitor,MET,,,Phase 1
PF-04457845,FAAH inhibitor,FAAH,,,Phase 2
PF-04691502,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA",,,Phase 2
PF-05212384,"mTOR inhibitor, PI3K inhibitor","MTOR, PIK3CA",,,Phase 2
PF-3845,FAAH inhibitor,FAAH,,,Preclinical
PF-477736,CHK inhibitor,"CHEK1, CHEK2",,,Phase 1
PF-4981517,cytochrome P450 inhibitor,CYP3A4,,,Preclinical
PF-562271,focal adhesion kinase inhibitor,"PTK2, PTK2B",,,Phase 1
PF-573228,focal adhesion kinase inhibitor,"CDK1, CDK2, CDK7, GSK3B, IKBKB",,,Preclinical
PFI-1,bromodomain inhibitor,BRD4,,,Preclinical
PFK-015,phosphofructokinase inhibitor,PFKFB3,,,Phase 1
PHA-665752,c-Met inhibitor,MET,,,Preclinical
PHA-680632,Aurora kinase inhibitor,"AURKA, AURKB, AURKC",,,Preclinical
PHA-767491,CDC inhibitor,"CDK1, RPS6KB1",,,Preclinical
PHA-793887,CDK inhibitor,"CDK1, CDK2, CDK4, CDK5, CDK7, CDK9",,,Phase 1
